iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((2, 3), food_remaining=2)",START,START,"['((3, 3), food_remaining=2)', '((1, 3), food_remaining=1)']","['((2, 3), food_remaining=2)']","['((3, 3), food_remaining=2)', '((1, 3), food_remaining=1)']","['((2, 3), food_remaining=2)']",0,0,0
2,"((3, 3), food_remaining=2)","((2, 3), food_remaining=2)",East,"['((3, 2), food_remaining=2)', '((2, 3), food_remaining=2)']","['((3, 3), food_remaining=2)', '((1, 3), food_remaining=1)']","['((1, 3), food_remaining=1)', '((3, 2), food_remaining=2)']","['((3, 3), food_remaining=2)', '((2, 3), food_remaining=2)']",1,0,1
3,"((1, 3), food_remaining=1)","((2, 3), food_remaining=2)",West,"['((2, 3), food_remaining=1)']","['((1, 3), food_remaining=1)', '((3, 2), food_remaining=2)']","['((3, 2), food_remaining=2)', '((2, 3), food_remaining=1)']","['((3, 3), food_remaining=2)', '((1, 3), food_remaining=1)', '((2, 3), food_remaining=2)']",1,0,1
4,"((3, 2), food_remaining=2)","((3, 3), food_remaining=2)",South,"['((3, 3), food_remaining=2)', '((3, 1), food_remaining=2)']","['((3, 2), food_remaining=2)', '((2, 3), food_remaining=1)']","['((2, 3), food_remaining=1)', '((3, 1), food_remaining=2)']","['((3, 3), food_remaining=2)', '((3, 2), food_remaining=2)', '((1, 3), food_remaining=1)', '((2, 3), food_remaining=2)']",2,0,2
5,"((2, 3), food_remaining=1)","((1, 3), food_remaining=1)",East,"['((3, 3), food_remaining=1)', '((1, 3), food_remaining=1)']","['((2, 3), food_remaining=1)', '((3, 1), food_remaining=2)']","['((3, 1), food_remaining=2)', '((3, 3), food_remaining=1)']","['((2, 3), food_remaining=1)', '((1, 3), food_remaining=1)', '((2, 3), food_remaining=2)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",2,0,2
6,"((3, 1), food_remaining=2)","((3, 2), food_remaining=2)",South,"['((3, 2), food_remaining=2)', '((2, 1), food_remaining=2)']","['((3, 1), food_remaining=2)', '((3, 3), food_remaining=1)']","['((3, 3), food_remaining=1)', '((2, 1), food_remaining=2)']","['((2, 3), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",3,0,3
7,"((3, 3), food_remaining=1)","((2, 3), food_remaining=1)",East,"['((3, 2), food_remaining=1)', '((2, 3), food_remaining=1)']","['((3, 3), food_remaining=1)', '((2, 1), food_remaining=2)']","['((2, 1), food_remaining=2)', '((3, 2), food_remaining=1)']","['((2, 3), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",3,0,3
8,"((2, 1), food_remaining=2)","((3, 1), food_remaining=2)",West,"['((3, 1), food_remaining=2)', '((1, 1), food_remaining=1)']","['((2, 1), food_remaining=2)', '((3, 2), food_remaining=1)']","['((3, 2), food_remaining=1)', '((1, 1), food_remaining=1)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",4,0,4
9,"((3, 2), food_remaining=1)","((3, 3), food_remaining=1)",South,"['((3, 3), food_remaining=1)', '((3, 1), food_remaining=1)']","['((3, 2), food_remaining=1)', '((1, 1), food_remaining=1)']","['((1, 1), food_remaining=1)', '((3, 1), food_remaining=1)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 2), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",4,0,4
10,"((1, 1), food_remaining=1)","((2, 1), food_remaining=2)",West,"['((2, 1), food_remaining=1)']","['((1, 1), food_remaining=1)', '((3, 1), food_remaining=1)']","['((3, 1), food_remaining=1)', '((2, 1), food_remaining=1)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 1), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 2), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",5,0,5
11,"((3, 1), food_remaining=1)","((3, 2), food_remaining=1)",South,"['((3, 2), food_remaining=1)', '((2, 1), food_remaining=1)']","['((3, 1), food_remaining=1)', '((2, 1), food_remaining=1)']","['((2, 1), food_remaining=1)', '((2, 1), food_remaining=1)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 1), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 2), food_remaining=1)', '((3, 1), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((3, 3), food_remaining=2)']",5,0,5
12,"((2, 1), food_remaining=1)","((1, 1), food_remaining=1)",East,"['((3, 1), food_remaining=1)', '((1, 1), food_remaining=1)']","['((2, 1), food_remaining=1)', '((2, 1), food_remaining=1)']","['((2, 1), food_remaining=1)', '((3, 1), food_remaining=1)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 1), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 2), food_remaining=1)', '((3, 1), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((2, 1), food_remaining=1)', '((3, 3), food_remaining=2)']",6,0,6
13,"((2, 1), food_remaining=1)","((3, 1), food_remaining=1)",West,"['((3, 1), food_remaining=1)', '((1, 1), food_remaining=0)']","['((2, 1), food_remaining=1)', '((3, 1), food_remaining=1)']","['((3, 1), food_remaining=1)', '((1, 1), food_remaining=0)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 1), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 2), food_remaining=1)', '((3, 1), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((2, 1), food_remaining=1)', '((2, 1), food_remaining=1)', '((3, 3), food_remaining=2)']",6,0,6
14,"((3, 1), food_remaining=1)","((2, 1), food_remaining=1)",East,"['((3, 2), food_remaining=1)', '((2, 1), food_remaining=1)']","['((3, 1), food_remaining=1)', '((1, 1), food_remaining=0)']","['((1, 1), food_remaining=0)', '((3, 2), food_remaining=1)']","['((2, 1), food_remaining=2)', '((2, 3), food_remaining=1)', '((1, 1), food_remaining=1)', '((1, 3), food_remaining=1)', '((3, 2), food_remaining=1)', '((3, 1), food_remaining=1)', '((3, 1), food_remaining=1)', '((3, 1), food_remaining=2)', '((2, 3), food_remaining=2)', '((3, 3), food_remaining=1)', '((3, 2), food_remaining=2)', '((2, 1), food_remaining=1)', '((2, 1), food_remaining=1)', '((3, 3), food_remaining=2)']",7,0,7
